company_size,industry,tech_stack_keywords,page_visits,intent_signal,historical_conversion_rate,converted
2984,Retail,"AWS, Kotlin",35,1.0,0.8,1
4279,Finance,"Python, AWS, Java",79,0.02,0.91,1
4460,Tech,"AWS, Kotlin",39,0.85,0.56,1
39,Retail,"SQL, Python, Java",3,0.7,0.02,0
3960,Tech,React,19,0.64,0.82,1
3588,Retail,"NodeJS, React, Java",87,0.36,0.85,1
921,Education,"NodeJS, Java, React",83,0.38,0.4,1
2770,Education,Kotlin,18,0.85,0.23,1
4112,Finance,NodeJS,94,0.71,0.98,1
493,Finance,NodeJS,83,0.67,0.55,1
1132,Tech,"AWS, Python, NodeJS",5,0.03,0.52,0
3522,Retail,"Java, Kotlin, Python",55,0.18,0.95,1
311,Health,"SQL, React",13,0.96,0.41,1
739,Finance,Python,34,0.45,0.85,1
3242,Health,"AWS, SQL",88,0.78,0.7,1
546,Health,Kotlin,18,0.39,0.97,1
2462,Retail,SQL,68,0.76,0.43,1
4347,Tech,"SQL, NodeJS, Java",100,0.12,0.91,1
4855,Retail,"SQL, Python",72,0.04,0.57,1
1805,Finance,React,43,0.47,0.48,1
3213,Health,AWS,65,0.59,0.31,1
3811,Retail,"SQL, Kotlin",41,0.32,0.55,1
814,Retail,"SQL, AWS",38,0.72,0.57,1
4125,Retail,"Python, React, Kotlin",100,0.5,0.9,1
2033,Finance,Kotlin,38,0.93,0.7,1
4573,Tech,"React, Python, Kotlin",13,0.08,0.83,0
4414,Retail,"Java, React",22,0.07,0.77,0
245,Finance,"Java, SQL, Python",29,0.91,0.28,1
4844,Health,"AWS, React, NodeJS",9,0.67,0.21,0
4793,Education,"Java, Kotlin, NodeJS",91,0.67,0.26,1
272,Finance,"Python, AWS",68,0.03,0.15,1
3512,Education,"Kotlin, React",17,0.94,0.39,1
1772,Retail,"Java, Kotlin, NodeJS",37,0.77,0.65,1
1263,Retail,"React, AWS",64,0.76,0.54,1
2425,Finance,Python,67,0.91,0.68,1
4362,Education,"SQL, React",4,0.58,0.36,0
921,Retail,Kotlin,40,0.39,0.21,0
3431,Health,"React, Python, AWS",16,0.48,0.2,0
4436,Tech,"React, Kotlin, Python",11,0.78,0.6,1
4485,Tech,"Java, React",91,0.77,0.16,1
2625,Retail,"React, SQL",26,0.61,0.4,1
3761,Education,"Kotlin, Java",95,0.22,0.21,1
2051,Retail,"NodeJS, AWS",98,0.82,0.66,1
3501,Education,"NodeJS, Java",72,0.65,0.62,1
1166,Health,"Python, NodeJS, AWS",65,0.22,0.38,1
376,Education,"Java, React",2,0.48,0.13,0
2034,Retail,"SQL, React, Java",91,1.0,0.21,1
146,Health,SQL,45,0.33,0.47,1
4389,Finance,Python,43,0.12,0.97,1
432,Tech,"SQL, React",3,0.02,0.27,0
705,Retail,"AWS, NodeJS, Kotlin",34,0.18,0.19,0
2633,Retail,Python,80,0.19,0.22,1
4495,Retail,"Kotlin, NodeJS, AWS",65,0.86,0.71,1
964,Health,Kotlin,64,0.16,0.91,1
2235,Finance,AWS,7,0.86,0.08,0
2042,Education,"Java, SQL",35,0.09,0.75,1
1829,Finance,"AWS, SQL",22,0.91,0.49,1
2109,Health,"Java, NodeJS, SQL",48,0.26,0.83,1
4069,Retail,SQL,32,0.61,0.42,1
939,Tech,"React, SQL, NodeJS",26,0.16,0.01,0
4806,Retail,"NodeJS, Java, AWS",6,0.39,0.68,0
807,Education,"NodeJS, Python, AWS",46,0.09,0.81,1
1464,Tech,SQL,55,0.58,0.9,1
3416,Retail,Python,75,0.35,0.57,1
11,Tech,"React, Kotlin, Java",95,0.85,0.12,1
1869,Finance,"Java, NodeJS, Python",55,0.18,0.37,1
4868,Health,"Python, Java",85,0.28,0.78,1
885,Retail,"Kotlin, NodeJS",57,0.18,0.49,1
3565,Education,Kotlin,86,0.56,0.7,1
1390,Finance,"AWS, Kotlin, NodeJS",63,0.11,0.0,0
3402,Retail,"React, AWS, Python",1,0.19,0.07,0
4322,Finance,SQL,21,0.68,0.68,1
825,Education,"AWS, SQL",20,0.07,0.29,0
2266,Retail,"React, AWS",73,0.74,0.39,1
937,Education,NodeJS,91,0.1,0.64,1
2801,Tech,React,29,0.59,0.11,0
2554,Education,"SQL, Python",43,1.0,0.83,1
3846,Tech,"AWS, React, Python",97,0.17,0.14,1
1797,Retail,"NodeJS, AWS",45,0.26,0.73,1
54,Tech,AWS,65,0.9,0.29,1
727,Retail,"SQL, React, NodeJS",3,0.63,0.26,0
2737,Retail,"React, NodeJS",96,0.49,0.82,1
3171,Health,"Java, AWS, Python",20,0.56,0.55,1
1914,Retail,"Java, React, NodeJS",81,0.3,0.21,1
1597,Tech,AWS,37,0.86,0.0,1
1915,Health,SQL,38,0.75,0.97,1
2467,Health,Python,74,0.64,0.43,1
2738,Retail,"AWS, NodeJS, SQL",45,0.93,0.4,1
850,Education,"React, SQL",93,0.58,0.05,1
2110,Education,"Python, NodeJS, SQL",42,0.51,0.89,1
3,Health,"Java, SQL, React",46,0.98,0.14,1
4256,Retail,Java,60,0.21,0.34,1
4070,Education,"Kotlin, NodeJS, Python",96,0.14,0.42,1
4877,Retail,"React, Python",13,0.16,0.81,0
893,Retail,"React, Java",31,0.99,0.36,1
2031,Health,Kotlin,68,0.65,0.53,1
3161,Health,"SQL, Java",62,0.31,0.43,1
2377,Finance,"NodeJS, Kotlin",49,0.25,0.31,1
4676,Education,"Kotlin, NodeJS, AWS",18,0.06,0.95,0
1934,Education,"AWS, Java",75,0.13,0.8,1
1381,Education,"SQL, NodeJS, React",53,0.91,0.17,1
3682,Tech,Java,18,0.75,0.55,1
1291,Retail,"Kotlin, SQL",51,0.94,0.8,1
1641,Health,AWS,41,0.42,0.58,1
2683,Education,"Java, SQL, Kotlin",97,0.6,0.49,1
988,Finance,"Java, Kotlin",67,0.48,0.07,1
1219,Education,React,65,0.88,0.11,1
1356,Retail,"SQL, React",83,0.99,0.25,1
4266,Retail,"Python, Java",6,0.93,0.51,1
4617,Health,React,74,0.6,0.99,1
4136,Tech,NodeJS,37,0.06,0.8,1
1561,Health,NodeJS,12,0.62,0.11,0
1419,Education,"NodeJS, AWS, Kotlin",81,0.1,0.72,1
955,Finance,"Kotlin, Python",91,0.14,0.81,1
984,Health,NodeJS,2,0.19,0.41,0
975,Tech,SQL,53,0.36,0.33,1
4134,Health,Kotlin,25,0.59,0.58,1
3973,Retail,"SQL, Python",28,0.33,0.52,1
914,Education,Python,45,0.45,0.27,1
4550,Education,AWS,37,0.05,0.4,0
37,Education,NodeJS,17,0.62,0.54,1
3388,Education,"NodeJS, React, Kotlin",69,0.66,0.58,1
1712,Education,"Python, Java, Kotlin",56,0.1,0.53,1
3021,Education,Kotlin,58,0.79,0.85,1
796,Finance,"AWS, Kotlin",83,0.65,0.03,1
4037,Tech,Python,4,0.49,0.33,0
4689,Education,"NodeJS, React",55,0.55,0.75,1
3112,Tech,"React, Java",49,0.5,0.65,1
1325,Education,React,38,0.05,0.92,1
318,Health,"SQL, AWS, NodeJS",45,0.74,0.59,1
2397,Education,"React, NodeJS",30,0.51,0.64,1
2163,Retail,"React, AWS, Kotlin",96,0.17,0.7,1
2746,Finance,"Kotlin, SQL, NodeJS",37,0.68,0.19,1
1592,Health,"AWS, SQL, Java",56,0.7,0.75,1
3112,Health,Java,27,0.21,0.3,0
3931,Retail,"AWS, Python, Java",32,0.8,0.42,1
1997,Education,"Python, NodeJS",11,0.46,0.01,0
1313,Finance,NodeJS,58,0.18,0.84,1
1286,Health,"Python, Java",77,0.66,0.95,1
4312,Finance,NodeJS,35,0.6,0.06,0
2384,Health,"Kotlin, SQL, AWS",17,0.17,0.64,0
3240,Education,"Python, AWS, Kotlin",30,0.87,0.96,1
2140,Health,"SQL, React, Kotlin",18,0.85,0.61,1
1705,Health,"AWS, Java, Kotlin",30,0.84,0.8,1
363,Tech,"Java, React, Python",90,0.4,0.12,1
2605,Education,Java,16,0.82,0.24,0
1717,Retail,"AWS, Java, React",75,0.84,0.35,1
4452,Retail,"Java, AWS",54,1.0,0.98,1
4287,Education,"NodeJS, React, SQL",4,0.96,0.78,1
3739,Retail,"Python, Java",15,0.38,0.89,1
2470,Education,"AWS, Java, Kotlin",76,0.2,0.49,1
4796,Retail,"NodeJS, Python, SQL",27,0.29,0.72,1
557,Tech,"NodeJS, AWS",4,0.49,0.73,0
826,Retail,Python,35,0.81,0.57,1
2809,Health,"SQL, NodeJS",85,0.72,0.88,1
4522,Education,"NodeJS, AWS, Kotlin",63,0.79,0.16,1
2720,Finance,"React, Java, Python",100,0.38,0.06,1
3509,Finance,"Java, SQL",66,0.25,0.3,1
3742,Education,Python,39,0.02,0.09,0
1575,Tech,"Java, SQL",28,0.63,0.06,0
3999,Retail,NodeJS,34,0.8,0.42,1
2130,Tech,"Java, SQL, Kotlin",33,0.89,0.2,1
2404,Finance,"AWS, React, Kotlin",50,0.48,0.79,1
3330,Education,"React, SQL",60,0.93,0.58,1
589,Education,AWS,72,0.2,0.36,1
2013,Tech,"Python, Java",72,0.51,0.29,1
1548,Tech,"NodeJS, Kotlin",42,0.21,0.56,1
295,Retail,"Python, AWS",86,0.19,0.43,1
1986,Health,Kotlin,91,0.95,0.06,1
3118,Health,"NodeJS, Java, AWS",28,0.82,0.67,1
1691,Retail,"AWS, React",75,0.01,0.5,1
1137,Health,"AWS, Java, React",27,0.27,0.28,0
2065,Finance,"AWS, Kotlin",1,0.21,0.29,0
4456,Health,"Java, Python",92,0.15,0.45,1
4796,Retail,Python,91,0.7,0.83,1
4544,Health,"Python, NodeJS, SQL",8,0.57,0.42,0
4771,Education,"React, AWS, Java",46,0.45,0.84,1
1008,Tech,SQL,24,0.19,0.42,0
2515,Finance,SQL,40,0.28,0.83,1
3527,Education,"Python, Java, Kotlin",51,0.36,0.93,1
4682,Education,Kotlin,100,0.79,0.02,1
1248,Retail,"SQL, Java, AWS",24,0.99,0.06,1
3903,Tech,SQL,22,0.18,0.13,0
1436,Tech,"AWS, React, Java",74,0.34,0.12,1
572,Finance,"Java, Kotlin, AWS",68,0.28,0.45,1
2383,Retail,Java,8,0.04,0.76,0
1246,Finance,"AWS, NodeJS",58,0.22,0.96,1
2085,Health,"SQL, AWS, Kotlin",15,0.9,0.42,1
278,Education,"Java, AWS, Kotlin",8,0.84,0.69,1
1888,Finance,NodeJS,93,0.17,0.64,1
4580,Education,"React, AWS, Kotlin",42,0.37,0.39,1
1266,Retail,"React, NodeJS",39,0.31,0.72,1
4827,Health,NodeJS,35,0.15,0.59,1
1041,Retail,"AWS, Python",41,0.62,0.76,1
918,Health,"React, Python",48,0.56,0.19,1
886,Health,"Python, SQL",78,0.43,0.36,1
2753,Education,Python,96,0.86,0.67,1
22,Retail,"NodeJS, Java, React",71,0.62,0.12,1
4570,Retail,"Kotlin, Python, Java",44,0.26,0.77,1
3192,Finance,NodeJS,97,0.37,0.13,1
2354,Retail,"NodeJS, React",35,0.15,0.32,0
4800,Finance,Python,27,0.59,0.24,0
687,Tech,"NodeJS, AWS",65,0.59,0.06,1
285,Tech,"AWS, NodeJS",70,0.87,0.27,1
4812,Tech,"Kotlin, Java",66,0.86,0.91,1
3748,Retail,SQL,71,0.84,0.03,1
763,Retail,"Kotlin, Java, React",72,0.55,0.02,1
2429,Finance,Python,63,0.65,0.7,1
2508,Health,"Java, SQL",93,0.78,0.37,1
29,Finance,"Python, Java",80,0.09,0.23,1
907,Tech,Java,29,0.3,0.51,0
3105,Finance,Java,31,0.17,0.27,0
4000,Health,AWS,64,0.51,0.39,1
2995,Retail,"SQL, AWS",86,0.84,0.72,1
2507,Finance,Python,53,0.23,0.12,1
4666,Tech,"React, Kotlin",74,0.73,0.96,1
3610,Tech,NodeJS,68,0.41,0.04,1
3554,Retail,Java,25,0.9,0.81,1
1454,Finance,"React, Kotlin",13,0.63,0.72,1
4834,Health,AWS,81,0.98,0.28,1
3357,Retail,"AWS, Java",40,0.25,0.12,0
516,Finance,NodeJS,72,0.92,0.85,1
39,Education,"Kotlin, Java",87,0.36,0.68,1
3343,Tech,"AWS, Kotlin",7,0.62,0.29,0
887,Health,"SQL, NodeJS",32,0.17,0.02,0
2845,Health,Kotlin,24,0.76,0.94,1
2205,Health,"NodeJS, Java, Kotlin",1,0.98,0.4,0
1099,Tech,"React, Python",47,0.79,0.18,1
1824,Finance,"SQL, AWS",51,0.62,0.91,1
3202,Retail,NodeJS,36,0.45,0.36,1
3156,Finance,"Python, Java",27,0.35,0.46,0
3094,Retail,"React, NodeJS",70,0.42,0.7,1
3531,Health,"Java, Kotlin, AWS",42,0.33,0.82,1
3779,Finance,Python,95,0.83,0.1,1
2897,Health,SQL,76,0.89,0.9,1
3454,Education,"Java, SQL",90,0.95,0.93,1
3512,Health,SQL,89,0.42,0.26,1
989,Health,"Java, AWS",68,0.55,0.5,1
4117,Retail,NodeJS,70,0.58,0.86,1
4965,Education,AWS,13,0.65,0.49,0
4027,Health,Python,25,0.0,0.48,0
4180,Health,"Kotlin, React",95,0.84,0.62,1
1683,Education,Java,22,0.27,0.77,1
4666,Education,"AWS, Python",99,0.47,0.67,1
3964,Finance,AWS,21,0.84,0.63,1
934,Retail,"SQL, AWS",15,1.0,0.37,1
3599,Education,"AWS, Kotlin, Python",67,0.79,0.63,1
3234,Education,"Python, React, Kotlin",37,0.02,0.1,0
1981,Tech,AWS,45,0.37,0.41,1
1856,Education,"Python, React, AWS",26,0.25,0.19,0
3057,Retail,"Python, React",81,0.96,0.54,1
793,Health,"Java, Python, Kotlin",55,0.26,0.26,1
792,Health,"Python, AWS",50,0.94,0.51,1
1810,Health,Java,35,0.94,0.78,1
2256,Health,"SQL, NodeJS",41,0.84,0.43,1
3611,Tech,"React, Java",72,0.1,0.22,1
1608,Education,"NodeJS, Java",11,0.0,0.22,0
985,Health,"React, Kotlin, Python",88,0.79,0.91,1
3677,Finance,AWS,8,0.84,0.78,1
3381,Health,"React, Kotlin, Python",54,0.96,0.04,1
520,Education,SQL,94,0.22,0.94,1
591,Health,"AWS, Kotlin",1,0.73,0.11,0
1051,Tech,Python,98,0.52,0.65,1
3634,Retail,"Java, Python, React",20,0.33,0.55,0
4445,Retail,"NodeJS, SQL",100,0.61,0.05,1
960,Education,"SQL, React",34,0.55,0.3,1
693,Retail,"AWS, SQL, Java",57,0.29,0.78,1
3900,Retail,"React, Python, SQL",98,0.27,0.31,1
4474,Finance,"Kotlin, NodeJS",13,0.49,0.48,0
2947,Education,"Kotlin, SQL, AWS",54,0.47,0.7,1
527,Education,"AWS, Java",53,0.3,0.07,1
3225,Retail,"React, Java, NodeJS",52,0.26,0.83,1
2254,Retail,Kotlin,6,0.95,0.04,0
3345,Retail,"NodeJS, Java, React",36,0.86,0.26,1
3966,Tech,"Java, NodeJS, Python",25,0.82,0.76,1
1876,Health,Kotlin,91,0.21,0.91,1
1764,Tech,AWS,58,0.19,0.76,1
521,Education,"Python, Kotlin",55,0.81,0.23,1
1017,Finance,"SQL, NodeJS, Python",95,0.18,0.99,1
117,Health,"NodeJS, Java",3,0.5,0.41,0
2434,Finance,NodeJS,28,0.22,0.38,0
584,Education,"Kotlin, Java",68,0.38,0.87,1
395,Education,"Python, Kotlin",81,0.85,0.07,1
3789,Finance,"Python, React, SQL",38,0.89,0.56,1
2769,Finance,"AWS, Java, SQL",34,1.0,0.97,1
4168,Finance,Java,84,0.94,0.1,1
3861,Education,"React, AWS, Java",13,0.67,0.54,1
274,Retail,NodeJS,5,0.43,0.13,0
2014,Finance,"SQL, AWS, Java",60,0.06,0.89,1
4434,Health,React,88,0.61,0.59,1
1390,Education,"Java, AWS, Python",17,0.21,0.23,0
3567,Tech,"SQL, Java",57,0.85,0.31,1
4703,Tech,"Python, NodeJS, Java",31,0.55,0.52,1
166,Health,Java,92,0.73,0.73,1
1568,Retail,"Python, SQL",65,0.67,0.49,1
729,Finance,"Kotlin, Java, NodeJS",66,0.35,0.19,1
2044,Education,"Kotlin, Python, NodeJS",33,0.76,0.71,1
4198,Finance,Kotlin,93,0.84,0.12,1
3497,Education,NodeJS,4,0.74,0.81,1
779,Tech,"Kotlin, Python",82,0.78,0.4,1
214,Finance,"Python, React, SQL",55,0.36,0.65,1
3763,Health,"Java, Kotlin, SQL",24,0.94,0.34,1
1577,Retail,Python,32,0.42,0.67,1
2449,Health,Python,73,0.9,0.89,1
2937,Retail,"NodeJS, Kotlin, React",47,0.86,0.7,1
3118,Finance,"Python, NodeJS",16,0.12,0.67,0
592,Finance,Java,21,0.97,0.76,1
2721,Retail,"Java, Kotlin, NodeJS",94,1.0,0.5,1
714,Tech,React,67,0.61,0.22,1
936,Education,"SQL, Java",97,0.78,0.82,1
4338,Health,"Python, SQL, NodeJS",31,0.93,0.65,1
2,Health,"NodeJS, Java, SQL",14,0.02,0.31,0
2849,Health,"React, SQL, Java",6,0.93,0.28,0
4045,Finance,SQL,69,0.63,0.5,1
1950,Health,"Kotlin, NodeJS",29,0.83,0.21,1
918,Education,Python,55,0.54,0.88,1
3175,Education,"Java, AWS, Kotlin",37,0.53,0.79,1
2242,Retail,"Java, AWS, React",59,0.9,0.31,1
90,Finance,"React, NodeJS",36,0.51,0.05,0
1710,Education,"Python, AWS",85,0.47,0.05,1
2170,Tech,"Kotlin, Python",76,0.61,0.3,1
4239,Finance,"React, Python, Java",59,0.52,0.15,1
3042,Finance,NodeJS,87,0.45,0.87,1
106,Education,"Kotlin, Java, Python",78,0.18,0.42,1
887,Tech,"Java, React, AWS",64,0.4,0.35,1
428,Retail,"SQL, Kotlin",43,0.28,0.22,0
1896,Education,"Kotlin, SQL",42,0.4,0.84,1
317,Tech,Java,74,0.59,0.79,1
635,Finance,"AWS, React",60,0.61,0.38,1
1926,Tech,"React, SQL, Java",62,0.24,0.17,1
2057,Finance,"React, AWS, NodeJS",64,0.08,0.95,1
3145,Education,"React, NodeJS, Kotlin",91,0.74,0.32,1
2271,Education,"Java, AWS, Python",58,0.53,0.77,1
1440,Health,"Python, AWS",2,0.44,0.46,0
553,Health,"Kotlin, React, AWS",78,0.13,0.78,1
716,Health,"Python, Kotlin, Java",71,0.41,0.48,1
3912,Education,"NodeJS, Kotlin",81,0.82,0.93,1
1714,Retail,AWS,84,0.58,0.8,1
3390,Education,"Python, Kotlin",8,0.09,0.26,0
1108,Tech,NodeJS,56,0.33,0.43,1
4207,Education,"Python, AWS",84,0.98,0.1,1
251,Education,"React, SQL, Python",36,0.54,0.9,1
2431,Finance,"Python, Java, NodeJS",69,0.29,0.07,1
2055,Finance,"React, SQL",13,0.91,0.02,0
459,Finance,Python,39,0.34,0.5,1
208,Education,React,81,0.73,0.6,1
900,Retail,"Kotlin, Python",6,0.15,0.22,0
3462,Tech,Kotlin,19,0.16,0.57,0
3386,Tech,Python,25,0.56,0.9,1
22,Retail,"Kotlin, SQL",3,0.24,0.63,0
410,Retail,"AWS, Kotlin, Java",53,0.05,0.46,1
895,Tech,"React, NodeJS",28,0.93,0.14,1
515,Health,"AWS, Python, React",26,0.06,0.17,0
4905,Finance,"AWS, Java, Kotlin",47,0.72,0.48,1
4970,Finance,SQL,8,0.33,0.46,0
4110,Tech,"Kotlin, React",57,0.93,0.52,1
2135,Retail,Java,55,0.99,0.51,1
3596,Health,Python,79,0.34,0.34,1
2957,Tech,"React, Python",1,0.59,0.7,0
1561,Finance,"NodeJS, Python, Java",40,0.77,0.21,1
1267,Education,"Java, SQL",23,0.12,0.85,1
2170,Retail,"SQL, AWS, Python",100,0.71,0.19,1
3639,Education,"Java, SQL, Kotlin",54,0.91,0.42,1
750,Tech,"AWS, SQL",42,0.18,0.21,0
3428,Finance,React,80,0.84,0.62,1
4781,Health,"Java, NodeJS",50,0.12,0.48,1
1928,Education,"NodeJS, Python",4,0.57,0.37,0
3805,Health,"Java, SQL, NodeJS",8,0.34,0.48,0
3703,Finance,"NodeJS, Java, React",36,0.47,0.42,1
2357,Education,AWS,10,0.3,0.86,0
4791,Health,Python,30,0.26,0.12,0
2336,Health,Java,100,0.74,0.79,1
307,Education,"Python, Kotlin",16,0.22,0.66,0
3666,Finance,Java,30,0.41,0.35,0
1990,Health,"NodeJS, AWS, Python",64,0.27,0.92,1
662,Tech,"React, Java",74,0.24,0.18,1
4645,Education,"NodeJS, Java",11,0.63,0.31,0
312,Retail,SQL,34,0.05,0.37,0
2921,Retail,NodeJS,80,0.79,0.65,1
1083,Finance,"SQL, React, AWS",55,0.55,0.95,1
2972,Tech,"Kotlin, Java, Python",83,0.83,0.59,1
755,Health,"AWS, Kotlin, SQL",4,0.21,0.86,0
4131,Retail,"Python, AWS, NodeJS",49,0.71,0.9,1
4541,Finance,"NodeJS, React, AWS",44,0.42,0.47,1
353,Tech,"Kotlin, SQL",31,0.08,0.47,0
903,Tech,"Java, Python",48,0.75,0.25,1
3889,Finance,"React, Kotlin",99,0.76,0.6,1
159,Finance,"React, Kotlin, Java",98,0.27,0.12,1
1978,Health,NodeJS,26,0.92,0.63,1
957,Finance,"Java, SQL",70,0.76,0.89,1
2072,Health,Kotlin,97,0.31,0.76,1
404,Health,"AWS, Kotlin",91,0.24,0.65,1
4612,Education,"AWS, React, Python",12,0.44,0.84,1
2780,Tech,NodeJS,45,0.29,0.73,1
1388,Tech,"Kotlin, AWS, Java",8,0.22,0.53,0
3454,Tech,"AWS, React, NodeJS",9,0.4,0.52,0
956,Education,SQL,1,0.03,0.11,0
1713,Health,React,5,0.4,0.43,0
4704,Health,"React, NodeJS",71,0.22,0.52,1
1274,Finance,"SQL, Python, Kotlin",82,0.26,0.47,1
3812,Education,"NodeJS, Python, Kotlin",54,0.08,0.78,1
2626,Finance,"React, Python, AWS",24,0.59,0.16,0
2383,Education,"Python, Kotlin",26,0.47,0.79,1
1442,Finance,"Kotlin, SQL",10,0.75,0.74,1
2980,Retail,"AWS, Java, Kotlin",61,0.99,0.9,1
1798,Tech,React,40,0.12,0.37,0
4391,Tech,SQL,44,0.27,0.18,0
4010,Health,"SQL, Python",12,0.68,0.76,1
4851,Retail,NodeJS,22,0.24,0.59,0
1395,Tech,SQL,27,0.03,0.71,0
4282,Health,NodeJS,67,0.11,1.0,1
1270,Retail,"Python, SQL, NodeJS",82,0.43,0.19,1
4733,Tech,Java,69,0.43,0.41,1
3715,Finance,"Python, AWS",14,0.97,0.19,1
530,Education,AWS,25,0.47,0.86,1
3624,Retail,"React, AWS",52,0.68,0.02,1
2959,Health,"SQL, AWS",95,0.49,0.14,1
2915,Retail,"React, AWS",85,0.27,0.25,1
4890,Health,Python,59,0.11,0.77,1
3592,Retail,"React, AWS",38,0.86,0.63,1
2148,Health,Kotlin,20,0.15,0.39,0
4574,Tech,"AWS, SQL, NodeJS",78,0.1,0.16,1
3370,Finance,"Java, AWS",20,0.21,0.32,0
940,Tech,"Python, React",56,0.0,0.74,1
526,Finance,"NodeJS, AWS",30,0.07,0.38,0
2,Tech,"SQL, Kotlin",41,0.64,0.46,1
375,Tech,"Kotlin, Java",84,0.24,0.61,1
2341,Retail,"Kotlin, SQL, Java",71,0.34,0.91,1
4006,Education,"NodeJS, AWS, Kotlin",63,0.84,0.25,1
3053,Health,Python,69,0.77,0.45,1
4649,Health,AWS,95,0.49,0.31,1
2366,Health,NodeJS,29,0.61,0.47,1
1526,Finance,React,79,0.09,0.7,1
4477,Health,"Java, AWS",89,0.76,0.48,1
1647,Health,"AWS, NodeJS, Kotlin",77,0.52,0.83,1
14,Retail,"Java, Kotlin, React",44,0.57,0.55,1
4600,Tech,"SQL, React, Java",88,0.67,0.39,1
2279,Health,"SQL, Kotlin",79,0.5,0.78,1
3156,Education,"Java, React",88,0.52,0.43,1
130,Health,SQL,90,0.5,0.52,1
3815,Finance,"SQL, NodeJS, Python",83,0.5,0.99,1
4934,Finance,"NodeJS, SQL, React",57,0.75,0.79,1
3217,Finance,"SQL, Python",24,0.43,0.86,1
2939,Health,"AWS, Java, Kotlin",19,0.0,0.59,0
3929,Retail,"Kotlin, NodeJS",17,0.61,0.35,0
2041,Education,"Java, AWS",69,0.95,0.99,1
28,Health,React,61,0.26,0.24,1
2114,Retail,AWS,4,0.82,0.87,1
1253,Retail,Kotlin,22,0.46,0.91,1
4357,Health,"SQL, Kotlin",74,0.64,0.82,1
2047,Health,"React, NodeJS, SQL",85,0.89,0.11,1
4556,Retail,SQL,89,0.77,0.85,1
4024,Retail,"NodeJS, AWS, Java",6,0.88,0.66,1
4397,Retail,React,30,0.01,0.68,0
3375,Health,"SQL, Kotlin",93,0.19,0.79,1
3467,Retail,Python,75,0.42,0.49,1
3082,Finance,SQL,11,0.85,0.27,0
3779,Health,"AWS, NodeJS, Kotlin",48,0.84,0.57,1
630,Finance,"Python, React",46,0.19,0.11,0
270,Tech,SQL,27,0.14,0.67,0
2640,Health,React,19,0.83,0.48,1
1994,Tech,"NodeJS, SQL",86,0.54,0.5,1
2892,Retail,"React, AWS, SQL",92,0.63,0.19,1
4958,Retail,"React, NodeJS",59,0.81,0.04,1
3433,Education,Python,68,0.21,0.61,1
1281,Retail,SQL,54,0.14,0.66,1
2361,Tech,Kotlin,83,0.86,0.5,1
576,Retail,"Kotlin, AWS",17,0.11,0.77,0
1308,Health,SQL,50,0.09,0.56,1
3193,Retail,Java,40,0.28,0.85,1
3179,Education,"React, Python, SQL",100,0.32,0.29,1
2735,Retail,Kotlin,87,0.24,0.24,1
2213,Tech,React,92,0.74,0.26,1
2353,Tech,"NodeJS, React",11,0.97,0.03,0
3569,Retail,"Java, Kotlin, React",14,0.2,0.9,0
1656,Tech,"NodeJS, React, SQL",13,0.78,1.0,1
1580,Tech,"Python, Java, React",88,0.04,0.82,1
2204,Education,React,80,0.12,0.41,1
1391,Health,"AWS, Python",28,0.52,0.35,1
1743,Education,"SQL, Java",94,1.0,0.77,1
1926,Finance,React,44,0.95,0.51,1
620,Education,"React, Java, Python",63,0.11,0.94,1
1275,Retail,SQL,61,0.24,0.28,1
957,Health,"Python, NodeJS",91,0.95,0.32,1
1940,Retail,"React, AWS",17,0.15,1.0,1
3954,Finance,AWS,50,0.74,0.98,1
2382,Health,"AWS, React",26,0.0,0.89,1
969,Tech,"Python, React, Kotlin",7,0.63,0.4,0
1317,Education,Python,99,0.49,0.84,1
1044,Retail,"NodeJS, Java, React",79,0.47,0.28,1
282,Finance,"NodeJS, AWS, Kotlin",16,0.83,0.25,0
2845,Tech,"React, Java, AWS",85,0.08,0.55,1
1059,Education,"AWS, NodeJS, React",17,0.38,0.86,1
4294,Tech,AWS,90,0.45,0.1,1
2533,Education,NodeJS,35,0.12,0.57,0
3829,Health,AWS,84,0.09,0.61,1
1009,Tech,"Python, Kotlin, React",84,0.18,0.58,1
1230,Tech,"Java, AWS, SQL",23,0.24,0.22,0
1036,Tech,"React, AWS",69,0.97,0.06,1
4586,Health,"SQL, Java",9,0.48,0.89,1
276,Finance,"Java, NodeJS, React",87,0.51,0.57,1
2741,Education,"NodeJS, React",18,0.71,0.77,1
2290,Tech,"AWS, SQL, Kotlin",93,0.68,0.36,1
1240,Health,NodeJS,75,0.5,0.04,1
126,Finance,"React, AWS",48,0.34,0.26,1
4066,Education,"AWS, NodeJS",72,0.33,0.07,1
4313,Health,"AWS, Java, Kotlin",91,0.06,0.08,1
3869,Education,SQL,66,0.9,0.21,1
1209,Tech,"Java, NodeJS, React",23,0.77,0.63,1
3250,Finance,AWS,85,0.62,0.82,1
919,Health,Java,10,0.4,0.82,1
3924,Finance,"NodeJS, AWS, React",38,0.58,0.94,1
4404,Tech,"Kotlin, NodeJS",59,0.49,0.66,1
1970,Finance,SQL,68,0.27,0.02,1
2794,Finance,NodeJS,85,0.3,0.38,1
892,Retail,"AWS, Kotlin",43,0.87,0.11,1
4471,Finance,"Kotlin, Python",12,0.63,0.78,1
2034,Education,"Python, AWS",53,0.0,0.12,0
